Nazioni;Spesa totale per ricerca e sviluppo (% rispetto al PIL);Numero di brevetti;Addetti alla ricerca e sviluppo (% per 1000 abitanti);Imprese innovatrici (%);Laureati in discipline tecnico-scientifiche (%)
Austria;2,81;208;7,4;39,3;16,4
Belgio;2,24;138;5,8;46,5;13
Bulgaria;0,62;2,3;2,3;16,9;13,3
Cipro;0,43;9,4;1,4;29,8;9
Croazia;0,75;6,8;2,4;25;17,4
Danimarca;3,03;226,7;10,5;38,1;18,8
Estonia;2,16;28,1;4,4;38,4;13,2
Finlandia;3,43;255,8;10;44,6;21,7
Francia;2,23;130;6,3;36,7;22,1
Germania;2,88;282,6;7,3;55;16,2
Grecia;0,69;5,8;3,4;34,3;13,9
Irlanda;1,58;68,5;4,9;42,3;22,5
Italia;1,26;74,9;4;41,5;13,2
Lettonia;0,66;7,4;2,7;19,5;13,5
Lituania;0,9;5,1;3,5;18,9;23
Lussemburgo;1,16;150,2;9,3;48,4;2,8
Malta;0,87;8,5;3,5;35,9;11,1
Paesi Bassi;1,97;181,6;7,3;44,5;10,7
Polonia;0,89;9,3;2,4;16,1;17,9
Portogallo;1,37;8,9;4,5;41,3;19,4
Regno Unito;1,63;83,5;5,6;34;19,8
Repubblica Ceca;1,79;18,3;5,7;35,6;16,7
Romania;0,48;1,7;1,5;6,3;18,7
Slovacchia;0,81;8,4;3,4;19,7;17,9
Slovenia;2,58;50,8;7,7;32,7;17,9
Spagna;1,27;32;4,5;23,2;15,6
Svezia;3,28;294,9;8,6;45,2;15,9
Ungheria;1,27;19,2;3,6;16,4;9,5
